idx,input_bits,target_value,output_bits,output_value,error
0,0000,0.5000,11110001,0.5608,0.0608
1,0000,0.6972,11110001,0.5608,0.1364
2,1000,0.8624,11100111,0.9059,0.0435
3,1000,0.9689,11100111,0.9059,0.0630
4,0100,0.9994,11101111,0.9686,0.0307
5,0100,0.9489,11101111,0.9686,0.0197
6,1100,0.8257,00000011,0.7529,0.0727
7,1100,0.6497,00000011,0.7529,0.1033
8,0010,0.4494,00111010,0.3608,0.0886
9,0010,0.2573,00111010,0.3608,0.1034
10,1010,0.1046,11110000,0.0588,0.0458
11,1010,0.0160,11110000,0.0588,0.0429
12,0110,0.0058,00110000,0.0471,0.0413
13,0110,0.0757,00110000,0.0471,0.0286
14,1110,0.2144,01110010,0.3059,0.0915
15,1110,0.3994,01110010,0.3059,0.0935
16,0001,0.6006,11110101,0.6863,0.0856
17,0001,0.7856,11110101,0.6863,0.0994
18,1001,0.9243,10101111,0.9608,0.0365
19,1001,0.9942,10101111,0.9608,0.0334
20,0101,0.9840,00001111,0.9412,0.0429
21,0101,0.8954,00001111,0.9412,0.0458
22,1101,0.7427,10100101,0.6471,0.0956
23,1101,0.5506,10100101,0.6471,0.0965
24,0011,0.3503,00100010,0.2667,0.0837
25,0011,0.1743,00100010,0.2667,0.0924
26,1011,0.0511,11100000,0.0275,0.0236
27,1011,0.0006,11100000,0.0275,0.0268
28,0111,0.0311,00000100,0.1255,0.0944
29,0111,0.1376,00000100,0.1255,0.0121
30,1111,0.3028,01100110,0.4000,0.0972
31,1111,0.5000,01100110,0.4000,0.1000
