idx,input_bits,target_value,output_bits,output_value,error
0,0000,0.0000,0,0.0000,0.0000
1,1000,1.0000,1,1.0000,0.0000
2,0100,1.0000,1,1.0000,0.0000
3,1100,0.0000,0,0.0000,0.0000
4,0010,1.0000,1,1.0000,0.0000
5,1010,0.0000,0,0.0000,0.0000
6,0110,0.0000,0,0.0000,0.0000
7,1110,1.0000,1,1.0000,0.0000
8,0001,1.0000,1,1.0000,0.0000
9,1001,0.0000,0,0.0000,0.0000
10,0101,0.0000,0,0.0000,0.0000
11,1101,1.0000,1,1.0000,0.0000
12,0011,0.0000,0,0.0000,0.0000
13,1011,1.0000,1,1.0000,0.0000
14,0111,1.0000,1,1.0000,0.0000
15,1111,0.0000,0,0.0000,0.0000
